experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,mse,mae,rmse,train_months,test_month
100,CMSN2406,rnn,64,2,8,0.001,10,0.666967,0.617914,0.666967,['2024-12',,2025-08
101,CMSN2406,rnn,64,2,16,0.001,10,0.680368,0.634664,0.680368,['2024-12',,2025-08
102,CMSN2406,rnn,64,2,32,0.001,10,0.540227,0.494722,0.540227,['2024-12',,2025-08
103,CMSN2406,rnn,128,1,8,0.001,10,0.506231,0.454294,0.506231,['2024-12',,2025-08
104,CMSN2406,rnn,128,1,16,0.001,10,0.498308,0.445660,0.498308,['2024-12',,2025-08
105,CMSN2406,rnn,128,1,32,0.001,10,0.455054,0.398135,0.455054,['2024-12',,2025-08
106,CMSN2406,rnn,128,2,8,0.001,10,0.707368,0.647198,0.707368,['2024-12',,2025-08
107,CMSN2406,rnn,128,2,16,0.001,10,0.657747,0.603841,0.657747,['2024-12',,2025-08
108,CMSN2406,rnn,128,2,32,0.001,10,0.598068,0.550915,0.598068,['2024-12',,2025-08
109,CSTB2410,lstm,32,1,8,0.001,10,1.687072,1.638167,1.687072,['2024-12',,2025-08
110,CSTB2410,lstm,32,1,16,0.001,10,1.742222,1.692946,1.742222,['2024-12',,2025-08
111,CSTB2410,lstm,32,1,32,0.001,10,1.713334,1.660925,1.713334,['2024-12',,2025-08
112,CSTB2410,lstm,32,2,8,0.001,10,2.057474,1.958702,2.057474,['2024-12',,2025-08
113,CSTB2410,lstm,32,2,16,0.001,10,2.150779,2.054144,2.150779,['2024-12',,2025-08
114,CSTB2410,lstm,32,2,32,0.001,10,2.637696,2.605633,2.637696,['2024-12',,2025-08
115,CSTB2410,lstm,64,1,8,0.001,10,1.587624,1.537313,1.587624,['2024-12',,2025-08
116,CSTB2410,lstm,64,1,16,0.001,10,1.720003,1.670816,1.720003,['2024-12',,2025-08
117,CSTB2410,lstm,64,1,32,0.001,10,1.767492,1.718293,1.767492,['2024-12',,2025-08
118,CSTB2410,lstm,64,2,8,0.001,10,1.821950,1.665437,1.821950,['2024-12',,2025-08
119,CSTB2410,lstm,64,2,16,0.001,10,2.006421,1.885997,2.006421,['2024-12',,2025-08
120,CSTB2410,lstm,64,2,32,0.001,10,2.520136,2.488161,2.520136,['2024-12',,2025-08
121,CSTB2410,lstm,128,1,8,0.001,10,1.377573,1.321201,1.377573,['2024-12',,2025-08
122,CSTB2410,lstm,128,1,16,0.001,10,1.550640,1.498120,1.550640,['2024-12',,2025-08
123,CSTB2410,lstm,128,1,32,0.001,10,1.389149,1.330520,1.389149,['2024-12',,2025-08
124,CSTB2410,lstm,128,2,8,0.001,10,2.020293,1.896149,2.020293,['2024-12',,2025-08
125,CSTB2410,lstm,128,2,16,0.001,10,1.924023,1.776801,1.924023,['2024-12',,2025-08
126,CSTB2410,lstm,128,2,32,0.001,10,2.588999,2.558800,2.588999,['2024-12',,2025-08
127,CSTB2410,gru,32,1,8,0.001,10,1.537340,1.487262,1.537340,['2024-12',,2025-08
128,CSTB2410,gru,32,1,16,0.001,10,1.526025,1.474537,1.526025,['2024-12',,2025-08
129,CSTB2410,gru,32,1,32,0.001,10,1.585413,1.533691,1.585413,['2024-12',,2025-08
130,CSTB2410,gru,32,2,8,0.001,10,1.566961,1.513631,1.566961,['2024-12',,2025-08
131,CSTB2410,gru,32,2,16,0.001,10,1.652654,1.600963,1.652654,['2024-12',,2025-08
