experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,window_size,mse,mae,rmse,train_months,test_month
47,CVRE2407,lstm,64,2,8,10,0.001,10,0.977212,0.891190,0.977212,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
48,CVRE2407,lstm,64,2,8,15,0.001,10,0.334646,0.240676,0.334646,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
49,CVRE2407,lstm,64,2,8,20,0.001,10,0.490637,0.387153,0.490637,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
50,CVRE2407,lstm,64,2,8,25,0.001,10,0.420292,0.313447,0.420292,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
51,CVRE2407,lstm,64,2,16,5,0.001,10,0.456951,0.306385,0.456951,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
52,CVRE2407,lstm,64,2,16,10,0.001,10,0.505934,0.374063,0.505934,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
53,CVRE2407,lstm,64,2,16,15,0.001,10,0.355489,0.252545,0.355489,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
54,CVRE2407,lstm,64,2,16,20,0.001,10,0.433573,0.322956,0.433573,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
55,CVRE2407,lstm,64,2,16,25,0.001,10,0.455498,0.336729,0.455498,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
56,CVRE2407,lstm,64,2,32,5,0.001,10,0.700731,0.625707,0.700731,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
57,CVRE2407,lstm,64,2,32,10,0.001,10,0.645405,0.565379,0.645405,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
58,CVRE2407,lstm,64,2,32,15,0.001,10,0.718289,0.645446,0.718289,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
59,CVRE2407,lstm,64,2,32,20,0.001,10,1.132695,1.089843,1.132695,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
60,CVRE2407,lstm,64,2,32,25,0.001,10,1.088546,1.047239,1.088546,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
61,CVRE2407,lstm,128,1,8,5,0.001,10,0.435716,0.284736,0.435716,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
62,CVRE2407,lstm,128,1,8,10,0.001,10,0.516118,0.410898,0.516118,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
63,CVRE2407,lstm,128,1,8,15,0.001,10,0.581329,0.488075,0.581329,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
64,CVRE2407,lstm,128,1,8,20,0.001,10,0.371821,0.337114,0.371821,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
65,CVRE2407,lstm,128,1,8,25,0.001,10,0.736902,0.648139,0.736902,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
66,CVRE2407,lstm,128,1,16,5,0.001,10,0.474686,0.327755,0.474686,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
67,CVRE2407,lstm,128,1,16,10,0.001,10,0.530137,0.388012,0.530137,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
68,CVRE2407,lstm,128,1,16,15,0.001,10,0.487759,0.360512,0.487759,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
69,CVRE2407,lstm,128,1,16,20,0.001,10,0.480590,0.344475,0.480590,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
70,CVRE2407,lstm,128,1,16,25,0.001,10,0.527259,0.389485,0.527259,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
71,CVRE2407,lstm,128,1,32,5,0.001,10,0.368354,0.277018,0.368354,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
72,CVRE2407,lstm,128,1,32,10,0.001,10,0.391881,0.279976,0.391881,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
73,CVRE2407,lstm,128,1,32,15,0.001,10,0.446803,0.330760,0.446803,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
74,CVRE2407,lstm,128,1,32,20,0.001,10,0.575940,0.463709,0.575940,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
75,CVRE2407,lstm,128,1,32,25,0.001,10,0.452665,0.336674,0.452665,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
76,CVRE2407,lstm,128,2,8,5,0.001,10,0.601157,0.502624,0.601157,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
77,CVRE2407,lstm,128,2,8,10,0.001,10,0.620766,0.506020,0.620766,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
78,CVRE2407,lstm,128,2,8,15,0.001,10,1.244042,1.199810,1.244042,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
79,CVRE2407,lstm,128,2,8,20,0.001,10,0.394037,0.332652,0.394037,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
80,CVRE2407,lstm,128,2,8,25,0.001,10,0.719749,0.623875,0.719749,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
81,CVRE2407,lstm,128,2,16,5,0.001,10,0.442366,0.289555,0.442366,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
82,CVRE2407,lstm,128,2,16,10,0.001,10,0.513517,0.374736,0.513517,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
83,CVRE2407,lstm,128,2,16,15,0.001,10,0.421652,0.303283,0.421652,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
84,CVRE2407,lstm,128,2,16,20,0.001,10,0.424700,0.345839,0.424700,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
85,CVRE2407,lstm,128,2,16,25,0.001,10,0.533861,0.398629,0.533861,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
86,CVRE2407,lstm,128,2,32,5,0.001,10,0.559830,0.453867,0.559830,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
87,CVRE2407,lstm,128,2,32,10,0.001,10,0.646641,0.535985,0.646641,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
88,CVRE2407,lstm,128,2,32,15,0.001,10,0.883193,0.815954,0.883193,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
89,CVRE2407,lstm,128,2,32,20,0.001,10,0.406509,0.302066,0.406509,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
90,CVRE2407,lstm,128,2,32,25,0.001,10,0.833623,0.755876,0.833623,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
91,CVRE2407,gru,32,1,8,5,0.001,10,0.477819,0.363678,0.477819,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
92,CVRE2407,gru,32,1,8,10,0.001,10,0.534689,0.430154,0.534689,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
